RUNS,WEEK,Sessions,R0classroom,R0cheaters,%cheat,careless groupsize,town party size,weekly town parties,faculty % online,facultyF2F,studentsF2F,starters,meaninfected,meaninfectedinclass,maxinfected,maxinfectedinclass,meanatriskFacultyInfected,meanatriskStudentsInfected,maxatriskFacultyInfected,maxatriskStudentsInfected
692,0,483,0.81,1.15,0.1,7,80,6,0.4,211,4339,13,3,3,3,3,0,0,0,0
692,1,483,0.81,1.15,0.1,7,80,6,0.4,211,4339,13,67,49,72,52,0,3,2,6
692,2,483,0.81,1.15,0.1,7,80,6,0.4,211,4339,13,121,80,143,90,1,3,4,9
692,3,483,0.81,1.15,0.1,7,80,6,0.4,211,4339,13,195,121,257,152,1,4,4,12
692,4,483,0.81,1.15,0.1,7,80,6,0.4,211,4339,13,297,184,397,240,2,7,6,20
692,5,483,0.81,1.15,0.1,7,80,6,0.4,211,4339,13,415,264,531,345,3,10,7,24
692,6,483,0.81,1.15,0.1,7,80,6,0.4,211,4339,13,535,354,677,459,3,14,8,27
692,7,483,0.81,1.15,0.1,7,80,6,0.4,211,4339,13,644,446,793,569,4,14,10,31
692,8,483,0.81,1.15,0.1,7,80,6,0.4,211,4339,13,735,527,884,658,6,18,11,34
692,9,483,0.81,1.15,0.1,7,80,6,0.4,211,4339,13,804,596,971,732,6,18,12,37
692,10,483,0.81,1.15,0.1,7,80,6,0.4,211,4339,13,863,652,1049,805,7,20,14,37
692,11,483,0.81,1.15,0.1,7,80,6,0.4,211,4339,13,908,698,1116,872,7,20,16,38
692,12,483,0.81,1.15,0.1,7,80,6,0.4,211,4339,13,945,735,1164,920,8,22,17,39
692,13,483,0.81,1.15,0.1,7,80,6,0.4,211,4339,13,975,764,1205,961,8,22,18,41
692,14,483,0.81,1.15,0.1,7,80,6,0.4,211,4339,13,998,787,1239,995,9,23,19,42
692,15,483,0.81,1.15,0.1,7,80,6,0.4,211,4339,13,1016,807,1264,1020,8,23,19,44
695,0,483,0.81,1.15,0.1,7,80,6,0.4,211,4339,13,3,3,3,3,0,0,0,0
695,1,483,0.81,1.15,0.1,7,80,6,0.4,211,4339,13,63,50,72,52,0,0,2,6
695,2,483,0.81,1.15,0.1,7,80,6,0.4,211,4339,13,118,79,143,90,1,5,4,9
695,3,483,0.81,1.15,0.1,7,80,6,0.4,211,4339,13,199,123,257,152,1,6,4,12
695,4,483,0.81,1.15,0.1,7,80,6,0.4,211,4339,13,303,187,397,240,2,9,6,20
695,5,483,0.81,1.15,0.1,7,80,6,0.4,211,4339,13,422,268,531,345,2,12,7,24
695,6,483,0.81,1.15,0.1,7,80,6,0.4,211,4339,13,539,358,677,459,3,15,8,27
695,7,483,0.81,1.15,0.1,7,80,6,0.4,211,4339,13,644,447,793,569,4,15,10,31
695,8,483,0.81,1.15,0.1,7,80,6,0.4,211,4339,13,734,528,884,658,6,19,11,34
695,9,483,0.81,1.15,0.1,7,80,6,0.4,211,4339,13,803,596,971,732,6,19,12,37
695,10,483,0.81,1.15,0.1,7,80,6,0.4,211,4339,13,862,652,1049,805,7,21,14,37
695,11,483,0.81,1.15,0.1,7,80,6,0.4,211,4339,13,907,697,1116,872,7,21,16,38
695,12,483,0.81,1.15,0.1,7,80,6,0.4,211,4339,13,944,735,1164,920,8,24,17,39
695,13,483,0.81,1.15,0.1,7,80,6,0.4,211,4339,13,974,763,1205,961,8,23,18,41
695,14,483,0.81,1.15,0.1,7,80,6,0.4,211,4339,13,997,787,1239,995,9,23,19,42
695,15,483,0.81,1.15,0.1,7,80,6,0.4,211,4339,13,1015,806,1264,1020,8,23,19,44
