RUNS,WEEK,Sessions,R0classroom,R0cheaters,%cheat,careless groupsize,town party size,weekly town parties,faculty % online,facultyF2F,studentsF2F,starters,meaninfected,meaninfectedinclass,maxinfected,maxinfectedinclass,meanatriskFacultyInfected,meanatriskStudentsInfected,maxatriskFacultyInfected,maxatriskStudentsInfected
3,0,500,0.81,1.15,0.1,7,80,6,0.4,209,4347,13,3,3,3,3,0,0,0,0
3,1,500,0.81,1.15,0.1,7,80,6,0.4,209,4347,13,66,48,66,48,0,0,0,1
3,2,500,0.81,1.15,0.1,7,80,6,0.4,209,4347,13,111,70,130,81,0,2,0,4
3,3,500,0.81,1.15,0.1,7,80,6,0.4,209,4347,13,155,94,219,130,0,4,1,8
3,4,500,0.81,1.15,0.1,7,80,6,0.4,209,4347,13,207,125,330,198,1,5,2,11
3,5,500,0.81,1.15,0.1,7,80,6,0.4,209,4347,13,267,161,449,286,1,7,3,18
3,6,500,0.81,1.15,0.1,7,80,6,0.4,209,4347,13,335,210,579,388,1,8,5,18
3,7,500,0.81,1.15,0.1,7,80,6,0.4,209,4347,13,402,262,693,487,1,8,5,19
3,8,500,0.81,1.15,0.1,7,80,6,0.4,209,4347,13,472,318,787,575,2,11,5,19
3,9,500,0.81,1.15,0.1,7,80,6,0.4,209,4347,13,543,374,863,648,1,12,7,21
3,10,500,0.81,1.15,0.1,7,80,6,0.4,209,4347,13,612,434,923,708,2,14,7,22
3,11,500,0.81,1.15,0.1,7,80,6,0.4,209,4347,13,663,484,966,751,3,16,8,23
3,12,500,0.81,1.15,0.1,7,80,6,0.4,209,4347,13,701,522,999,784,3,18,8,23
3,13,500,0.81,1.15,0.1,7,80,6,0.4,209,4347,13,732,553,1025,810,3,17,9,24
3,14,500,0.81,1.15,0.1,7,80,6,0.4,209,4347,13,755,576,1047,832,4,18,10,24
3,15,500,0.81,1.15,0.1,7,80,6,0.4,209,4347,13,768,590,1067,852,3,17,10,24
