RUNS,WEEK,Sessions,R0classroom,R0cheaters,%cheat,careless groupsize,town party size,weekly town parties,faculty % online,facultyF2F,studentsF2F,starters,meaninfected,meaninfectedinclass,maxinfected,maxinfectedinclass,meanatriskFacultyInfected,meanatriskStudentsInfected,maxatriskFacultyInfected,maxatriskStudentsInfected
26,0,260,0.81,2.5,0.15,7,80,6,0.65,120,2593,8,4,4,4,4,0,0,0,0
26,1,260,0.81,2.5,0.15,7,80,6,0.65,120,2593,8,49,25,56,31,0,1,1,3
26,2,260,0.81,2.5,0.15,7,80,6,0.65,120,2593,8,137,54,153,63,1,3,1,6
26,3,260,0.81,2.5,0.15,7,80,6,0.65,120,2593,8,313,121,359,143,1,7,2,11
26,4,260,0.81,2.5,0.15,7,80,6,0.65,120,2593,8,492,231,566,272,2,12,3,18
26,5,260,0.81,2.5,0.15,7,80,6,0.65,120,2593,8,586,322,674,377,4,13,6,22
26,6,260,0.81,2.5,0.15,7,80,6,0.65,120,2593,8,656,392,754,457,4,15,7,22
26,7,260,0.81,2.5,0.15,7,80,6,0.65,120,2593,8,711,447,817,528,5,15,9,24
26,8,260,0.81,2.5,0.15,7,80,6,0.65,120,2593,8,756,491,880,588,5,17,9,26
26,9,260,0.81,2.5,0.15,7,80,6,0.65,120,2593,8,791,526,933,641,6,17,11,26
26,10,260,0.81,2.5,0.15,7,80,6,0.65,120,2593,8,819,555,969,677,7,19,11,27
26,11,260,0.81,2.5,0.15,7,80,6,0.65,120,2593,8,841,577,997,705,7,20,11,28
26,12,260,0.81,2.5,0.15,7,80,6,0.65,120,2593,8,859,596,1022,730,8,20,12,28
26,13,260,0.81,2.5,0.15,7,80,6,0.65,120,2593,8,872,608,1041,749,8,20,12,28
26,14,260,0.81,2.5,0.15,7,80,6,0.65,120,2593,8,883,621,1054,762,8,22,12,30
26,15,260,0.81,2.5,0.15,7,80,6,0.65,120,2593,8,890,626,1065,773,8,22,12,30
