Class Nbr,Subject,Catalog,Section,Room Capacity,Req Rm Cap,Enrollment Capacity,Enrollment Total
2204,PSY,110,20,,150,65,0
2206,PSY,110,30,175,45,45,45
2207,PSY,110,40,81,45,45,45
2200,PSY,120,20,,135,35,0
2199,PSY,125,10,81,81,75,35
2162,PSY,125,810,,50,45,45
3299,PSY,140,10,81,45,30,30
3291,PSY,140,20,198,45,10,10
2180,PSY, 200QL,10,28,25,25,15
2181,PSY, 200QL,20,28,25,24,13
2181,PSY, 200QL,20,28,25,24,13
2182,PSY, 200QL,40,28,25,25,13
2182,PSY, 200QL,40,28,25,25,13
2183,PSY, 200QL,50,28,25,25,15
2183,PSY, 200QL,50,28,25,25,15
2184,PSY, 200QL,60,28,25,25,22
2208,PSY, 200QL,70,28,25,25,20
3298,PSY,202,10,40,35,40,40
2164,PSY,202,30,,40,35,0
2163,PSY,202,810,,40,35,0
2202,PSY,208,10,35,35,32,32
2165,PSY,220,10,49,45,40,32
3335,PSY,232,810,,30,30,30
2185,PSY,240,10,198,135,120,51
2166,PSY,250,30,38,38,35,35
2167,PSY,250,40,38,38,35,34
2176,PSY, 270CTWI,20,24,19,15,15
2177,PSY, 270CTWI,30,24,19,15,15
3292,PSY, 270CTWI,40,24,17,17,9
2178,PSY, 270CTWI,60,24,19,18,18
2197,PSY, 310CTQL,10,35,35,28,27
2187,PSY, 310CTQL,20,25,35,24,19
2210,PSY, 310CTQL,30,48,48,45,16
2168,PSY,311,20,35,35,32,32
2169,PSY,312,10,38,38,35,21
2170,PSY,312,20,35,35,32,21
2189,PSY,325,10,48,40,26,24
2171,PSY,331,810,,40,40,10
2209,PSY,340,10,48,45,45,14
3293,PSY,340,20,35,35,35,20
2172,PSY,360,10,30,35,22,19
3296,PSY,375,10,,40,30,0
2190,PSY,379,10,35,35,35,20
2191,PSY,379,20,30,30,30,23
2173,PSY,379,30,81,75,75,20
2192,PSY, 380WI,10,21,17,17,11
2193,PSY, 380WI,20,21,17,17,17
2211,PSY, 380WI,30,,15,14,0
2203,PSY, 380WI,40,21,15,14,14
3597,PSY,398,960,,40,0,1
2205,PSY,530,101,38,25,25,19
2174,PSY,546,101,48,25,25,24
3495,REGT,1,2210,25,1,0,0
3496,REGT,1,4010,33,1,0,1
3497,REGT,1,4020,33,1,0,1
3498,REGT,1,5420,,1,0,1
2943,REGT,50,1,32,1,0,0
2943,REGT,50,1,32,1,0,0
2943,REGT,50,1,32,1,0,0
2943,REGT,50,1,32,1,0,0
2943,REGT,50,1,32,1,0,0
2943,REGT,50,1,32,1,0,0
3557,SCI,220,11,12,30,12,6
3558,SCI,220,810,450,30,12,6
2971,SCM,260,10,32,30,30,15
2412,SEU, 312WICD,10,56,24,24,19
2420,SEU, 312WICD,20,30,24,24,14
2414,SEU,313,10,56,24,24,19
2421,SEU,313,20,30,24,24,14
2418,SEU, 321WI,10,30,25,24,9
2419,SEU, 325WI,10,40,24,24,25
2413,SEU, 342WIVL,10,56,24,24,15
2415,SEU,343,10,56,24,24,15
2407,SEU,390,15,30,25,0,0
2408,SEU,390,25,,25,0,1
2417,SEU,390,35,30,25,0,3
2429,SEU,390,55,,10,0,1
2409,SEU,391,16,30,25,0,0
2410,SEU,391,26,,25,0,1
2416,SEU,391,36,30,25,0,3
2430,SEU,391,56,,10,0,1
2425,SEU,410,101,56,40,24,0
2426,SEU, 410WI,10,56,40,24,8
3433,SEU,422,10,24,25,24,3
3432,SEU,422,101,24,25,24,0
2427,SEU,430,101,30,30,24,0
2428,SEU, 430WI,10,30,30,24,6
2422,SEU,535,102,30,23,0,11
2411,SEU,544,801,450,23,23,18
2482,SMS,101,810,450,100,100,95
3076,SMS,322,10,25,25,25,16
1023,SOC,  10CD,20,175,100,50,36
1024,SOC,  10CD,40,175,100,40,34
1029,SOC,  10CD,50,175,100,80,31
1030,SOC,  10CD,60,175,100,20,20
3588,SOC,  10CD,61,175,90,0,0
3096,SOC,  10CD,70,170,100,50,35
1050,SOC,  10CD,810,,35,25,21
1042,SOC, 110CD,815,,35,25,30
3098,SOC, 120CDWI,10,35,40,25,28
3099,SOC, 120CDWI,816,,25,18,23
1046,SOC, 165CD,10,49,40,20,25
3584,SOC, 165CD,990,,40,0,1
1031,SOC, 200QL,10,28,25,25,1
1032,SOC, 200QL,20,28,25,24,1
1032,SOC, 200QL,20,28,25,24,1
1033,SOC, 200QL,40,28,25,25,1
1033,SOC, 200QL,40,28,25,25,1
1034,SOC, 200QL,50,28,25,25,0
1034,SOC, 200QL,50,28,25,25,0
1035,SOC, 200QL,60,28,25,25,3
1049,SOC, 200QL,70,28,25,25,2
1027,SOC, 201QL,10,44,25,20,8
1038,SOC, 217CD,10,35,35,35,24
1043,SOC, 217CD,816,,35,25,20
1036,SOC, 224CDCT,10,38,40,30,30
3102,SOC, 230CDCT,20,48,40,24,25
1045,SOC, 230CDCT,815,,35,25,28
1025,SOC, 245CD,815,,35,25,33
3398,SOC,250,10,40,30,35,15
3399,SOC,250,20,38,30,35,18
3400,SOC,250,810,,30,35,19
1026,SOC,271,816,,35,25,31
3107,SOC,310,10,48,30,25,9
1044,SOC, 350CTWI,10,44,20,20,16
2361,SOW,700,801,,30,8,1
2362,SOW,705,801,,30,0,0
1855,SPA,101,811,35,25,25,19
1846,SPA,101,812,38,25,25,9
1836,SPA,101,813,35,40,25,16
1845,SPA,102,810,32,25,25,0
1841,SPA,102,811,49,40,25,8
3162,SPA,102,812,,25,25,0
1838,SPA,103,810,450,40,25,7
1853,SPA,103,811,48,25,25,8
1839,SPA,103,812,48,25,25,7
1840,SPA,104,810,25,25,25,15
3157,SPA,104,811,35,25,25,0
1849,SPA,104,812,,25,25,10
3177,SPA, 207WI,810,25,40,25,13
1842,SPA, 212WI,810,30,15,15,15
1844,SPA, 213CM,810,25,15,15,12
1843,SPA, 214CDCM,10,30,40,0,0
3158,SPA, 214CDCM,20,35,30,25,19
3161,SPA,291,10,25,30,25,8
3163,SPA,340,10,,30,25,0
3160,SPA,343,810,48,30,25,25
3159,SPA,370,10,48,25,25,25
1848,SPA, 380CDCT,10,38,20,20,10
3391,SPP,999,10,28,18,0,0
3392,SPP,999,20,48,60,0,0
3392,SPP,999,20,48,60,0,0
3392,SPP,999,20,48,60,0,0
3392,SPP,999,20,48,60,0,0
3393,SPP,999,30,,1,1,0
3394,SPP,999,40,39,1,0,0
3395,SPP,999,50,,60,0,0
3396,SPP,999,60,,30,0,2
2451,SPT,120,810,40,30,30,30
2462,SPT,120,811,40,30,30,29
2441,SPT,160,10,40,40,40,27
2443,SPT,160,30,40,40,40,21
2456,SPT,160,810,40,40,40,6
2452,SPT, 195QL,10,40,30,28,22
2453,SPT, 195QL,20,40,30,28,28
2437,SPT,201,10,35,30,28,21
2458,SPT,201,20,35,30,28,28
2464,SPT,205,20,40,30,30,30
2445,SPT, 212CM,810,30,30,28,28
2446,SPT, 212CM,811,30,30,28,28
2444,SPT,222,10,35,30,28,28
2436,SPT,230,10,40,30,30,30
2457,SPT,230,20,40,30,30,31
2460,SPT,236,810,40,30,28,29
2466,SPT,236,811,40,40,28,28
2454,SPT,260,10,30,30,30,0
2455,SPT,260,20,30,30,30,30
2450,SPT,265,810,40,30,30,30
2468,SPT,265,811,40,30,30,30
2463,SPT,270,10,40,30,30,30
2447,SPT,285,810,40,30,30,30
2448,SPT, 290WI,10,25,30,24,24
2449,SPT, 290WI,20,30,30,24,25
2439,SPT,305,10,35,30,28,26
2440,SPT,305,20,35,30,28,28
2985,SPT,312,10,40,30,30,15
2459,SPT, 320CT,10,40,30,30,26
2461,SPT, 330WI,20,40,30,28,23
2465,SPT,333,10,35,40,26,22
2467,SPT, 345CD,810,40,30,30,30
3549,SPT,350,970,,1,0,7
2438,SPT,366,10,35,30,28,28
2218,SPU,101,10,32,80,32,27
3473,SPU,101,990,,100,0,1
2233,SPU,200,10,32,24,24,18
2245,SPU, 201CD,10,32,80,32,32
2219,SPU, 201CD,20,32,50,0,7
2220,SPU, 201CD,30,50,80,32,20
2221,SPU, 201CD,40,32,80,0,0
2239,SPU, 201CD,60,99,50,32,32
2242,SPU, 201CD,70,99,80,0,0
2234,SPU,202,10,32,24,24,17
2240,SPU,216,10,48,40,35,15
2241,SPU,216,20,,40,35,0
2254,SPU,216,30,50,40,35,28
2235,SPU, 302CT,10,32,24,24,9
2224,SPU,314,10,50,35,35,35
2225,SPU,314,20,32,50,32,32
2243,SPU,314,30,32,35,32,32
2246,SPU,314,811,,20,20,20
3289,SPU,314,820,,35,0,0
2226,SPU, 316WI,10,32,50,24,23
2227,SPU, 316WI,20,50,50,24,25
2228,SPU, 316WI,30,32,50,24,24
2244,SPU, 316WI,40,50,50,24,25
3290,SPU, 316WI,820,,24,0,0
2232,SPU,317,20,48,35,0,17
2251,SPU,318,10,99,35,35,17
2229,SPU,318,20,,50,35,0
2247,SPU, 320CT,20,48,20,0,17
2248,SPU,322,20,48,20,0,17
3232,SPU,327,10,,35,35,0
3234,SPU,327,20,32,35,32,24
2230,SPU,328,10,50,32,32,13
2231,SPU,328,20,48,32,32,24
2222,SPU,330,10,32,50,32,19
2223,SPU,330,20,50,40,24,17
3488,SPU,330,990,,20,0,1
2258,SPU,333,810,,40,20,18
2257,SPU,390,15,32,10,0,2
2236,SPU,391,16,32,10,0,4
2237,SPU,392,15,48,30,0,5
2238,SPU,393,16,48,30,0,7
3514,SPU,433,990,,40,0,1
2255,SPU,434,801,,40,40,2
2256,SPU,434,810,,40,40,8
3476,SPU,436,990,,40,0,1
2249,SPU,500,801,,20,20,11
2250,SPU,500,802,,20,20,0
2252,SPU,502,801,,40,20,5
3108,SPU,592,101,50,10,0,0
3235,SPU,593,101,50,10,0,1
1290,STA,516,801,32,40,25,9
1291,STA,517,801,30,40,25,9
1292,STA,571,101,38,40,25,9
1293,STA,573,101,48,30,25,8
1294,STA,588,101,16,30,25,9
1295,STA,592,101,32,1,0,0
2300,SWK, 100CDCT,10,81,60,70,23
2301,SWK, 100CDCT,20,81,32,81,43
2302,SWK, 100CDCT,30,70,70,46,6
2303,SWK, 100CDCT,40,49,49,49,4
2304,SWK, 100CDCT,810,,30,20,14
2305,SWK, 130CDCT,10,49,49,45,10
2306,SWK, 130CDCT,20,49,48,45,34
2307,SWK, 130CDCT,40,49,40,40,14
2325,SWK, 130CDCT,50,38,40,38,4
2327,SWK, 160CD,20,32,40,20,20
2310,SWK, 160CD,30,35,40,20,21
2309,SWK, 160CD,810,,40,20,14
2320,SWK, 200CMWI,410,35,35,25,14
3336,SWK, 200CMWI,810,,15,15,3
2329,SWK, 200CMWI,820,,20,0,0
2275,SWK,250,10,35,40,20,20
2318,SWK,250,30,35,30,20,21
2311,SWK, 255WICD,10,35,30,25,25
2317,SWK, 255WICD,20,49,30,25,11
2328,SWK, 255WICD,820,,30,0,0
2276,SWK,280,10,35,40,20,20
2321,SWK,280,20,35,20,20,9
2334,SWK,280,820,,20,0,8
2277,SWK,285,10,35,40,20,20
2324,SWK,286,510,35,30,25,12
2312,SWK,320,10,35,30,25,23
2319,SWK,320,210,49,20,20,12
2313,SWK, 360CTQL,10,30,40,15,15
2314,SWK, 360CTQL,20,32,40,15,1
2322,SWK, 360CTQL,30,32,20,15,7
3451,SWK,381,899,,40,0,45
2315,SWK, 382CTWI,10,35,30,0,10
2316,SWK, 382CTWI,20,49,30,0,10
2323,SWK, 382CTWI,30,30,30,0,9
2326,SWK, 382CTWI,40,30,30,0,8
2331,SWK, 382CTWI,820,,30,0,8
2280,SWK,400,10,49,40,10,0
2278,SWK,400,101,49,30,10,1
2279,SWK,400,801,16,30,10,6
2281,SWK,400,810,16,40,10,0
2284,SWK,450,10,16,40,10,0
2282,SWK,450,101,16,40,10,1
2283,SWK,450,601,49,40,10,6
2285,SWK,450,610,49,40,10,0
2288,SWK,460,10,49,40,0,0
2286,SWK,460,101,49,40,15,7
2287,SWK,460,601,32,40,15,11
2289,SWK,460,610,32,40,0,0
3453,SWK,481,890,,40,0,17
3452,SWK,481,899,,40,0,1
2290,SWK,482,10,49,40,0,1
2291,SWK,482,101,49,40,0,8
2332,SWK,482,301,30,40,0,9
2333,SWK,482,310,30,40,30,0
2292,SWK,500,101,35,40,17,2
2293,SWK,500,601,49,40,16,3
2294,SWK,555,101,35,40,18,6
2295,SWK,555,801,,40,20,4
2296,SWK,560,101,32,40,19,13
2297,SWK,560,601,32,40,17,6
2982,SWK,573,801,,9,9,0
3454,SWK,581,899,,40,0,17
2298,SWK,582,101,35,40,0,6
2299,SWK,582,301,48,40,0,6
2338,SWK,582,302,35,40,0,5
2335,SWK,701,801,,30,16,0
2330,SWK,710,801,,30,16,1
2478,THE,15,10,176,130,130,58
2479,THE,  31CM,10,36,25,25,18
3238,WGS,16,10,48,40,40,6
3239,WGS,16,20,,40,40,0
3409,WGS,45,10,29,30,25,2
3410,WGS,45,810,,30,30,7
3411,WGS,45,811,,30,30,6
3106,WGS,100,10,40,25,25,25
3354,WGS,130,810,,25,35,11
3355,WGS,130,811,,25,25,0
3356,WGS,130,812,,25,25,4
3507,WGS, 211CDVL,10,39,25,25,3
3350,WGS, 211CDVL,20,30,25,25,2
3351,WGS, 211CDVL,30,30,25,25,2
3460,WGS, 211CDVL,40,30,25,25,4
3383,WGS, 217CD,10,35,30,35,5
3384,WGS, 217CD,816,,35,25,5
3357,WGS,237,110,35,25,25,3
3358,WGS, 248CDCM,810,,25,35,9
3359,WGS,261,810,,25,48,3
3360,WGS,271,810,35,25,25,2
3403,WGS,272,10,39,40,25,5
3361,WGS,285,810,,25,25,0
3515,WGS,310,990,,40,0,1
3363,WGS,321,810,35,30,35,11
3364,WGS, 350CT,810,,25,35,1
3404,WGS,359,10,40,40,25,6
3421,WRI,100,10,40,30,10,1
3132,WRI,100,20,25,30,10,12
3405,WRI,107,10,28,40,25,7
3152,WRI, 108WI,10,40,22,16,18
1680,WRI, 108WI,20,40,22,15,15
1662,WRI, 111WI,10,40,25,15,20
1663,WRI, 111WI,20,34,25,15,19
1675,WRI, 120WI,10,25,24,15,17
1666,WRI, 207WICT,10,25,24,25,25
1667,WRI, 207WICT,20,25,24,25,25
1670,WRI, 207WICT,30,40,24,25,25
1686,WRI, 207WICT,40,,24,24,0
1703,WRI, 207WICT,50,40,24,25,25
1677,WRI, 207WICT,810,,24,25,25
1678,WRI, 207WICT,811,,24,25,25
3134,WRI, 207WICT,812,,24,25,25
3133,WRI, 207WICT,813,,24,25,25
1664,WRI, 213WI,10,34,25,25,22
1668,WRI, 214WICT,10,33,25,25,25
1673,WRI, 216WICM,10,24,24,24,9
1669,WRI, 216WICM,20,25,24,25,15
1687,WRI,217,10,24,30,24,9
3155,WRI, 226WICP,10,24,24,24,17
1672,WRI,250,10,24,40,24,24
1684,WRI,250,20,24,40,24,24
3151,WRI, 303WI,10,,40,20,0
1682,WRI, 311WI,10,40,40,25,25
3018,WRI, 325WICD,10,39,25,25,14
3401,WRI,333,10,25,25,25,13
3402,WRI,347,10,25,40,25,14
3484,WRI,380,990,,30,0,1
3487,WRI,390,970,,40,0,1
3568,WRI,390,971,,40,0,1
